LeMond, Revolution,FW 50,HW 02,26-Jul,17:19:59,Alt 30,Temp 25,Hum 43,Tire 2105,CF 150
0:00:38,18.9,0.1,73,84,66,4,0,,,
0:00:39,19,0.1,74,83,66,4,0,,,
0:00:40,19,0.1,71,82,67,4,0,,,
0:00:41,19,0.1,67,82,66,4,0,,,
0:00:42,18.9,0.1,70,82,66,4,0,,,
0:00:43,19,0.1,77,82,67,4,0,,,
0:00:44,19.1,0.1,75,82,67,4,0,,,
0:00:45,19.1,0.2,71,82,67,4,0,,,
0:00:46,19.1,0.2,78,83,68,4,0,,,
0:00:47,19.4,0.2,80,83,68,4,0,,,
0:00:48,19.4,0.2,73,83,68,4,0,,,
0:00:49,19.4,0.2,69,83,67,4,0,,,
0:00:50,19.3,0.2,65,83,67,5,0,,,
0:00:51,19.1,0.2,71,83,67,5,0,,,
0:00:52,19.3,0.2,79,83,67,5,0,,,
0:00:53,19.4,0.2,83,84,68,5,0,,,
0:00:54,19.7,0.2,85,84,70,5,0,,,
0:00:55,19.8,0.2,93,85,72,5,0,,,
0:00:56,20.3,0.2,112,86,73,5,0,,,
0:00:57,20.9,0.2,105,86,74,5,0,,,
0:00:58,21,0.2,92,86,74,5,0,,,
0:00:59,21.2,0.2,89,85,74,5,0,,,
0:01:00,21.2,0.2,85,86,74,6,0,,,
0:01:01,21.2,0.2,85,86,74,6,0,,,
0:01:02,21.2,0.2,85,86,74,6,0,,,
0:01:03,21.2,0.2,85,86,74,6,0,,,
0:01:04,21.2,0.2,85,86,74,6,0,,,
0:01:05,21.2,0.3,81,86,74,6,0,,,
0:01:06,21,0.3,80,86,74,6,0,,,
0:01:07,21,0.3,84,86,73,6,0,,,
0:01:08,21,0.3,84,86,74,6,0,,,
0:01:09,21,0.3,84,86,73,6,0,,,
0:01:10,21,0.3,84,86,73,7,0,,,
0:01:11,21,0.3,88,86,74,7,0,,,
0:01:12,21.2,0.3,89,87,74,7,0,,,
0:01:13,21.2,0.3,85,87,74,7,0,,,
0:01:14,21.2,0.3,85,87,74,7,0,,,
0:01:15,21.2,0.3,89,87,74,7,0,,,
0:01:16,21.3,0.3,86,86,74,7,0,,,
0:01:17,21.2,0.3,85,86,74,7,0,,,
0:01:18,21.3,0.3,86,86,74,7,0,,,
0:01:19,21.2,0.3,89,86,75,7,0,,,
0:01:20,21.4,0.3,98,86,75,8,0,,,
0:01:21,21.5,0.3,92,86,75,8,0,,,
0:01:22,21.5,0.3,92,86,75,8,0,,,
0:01:23,21.7,0.3,93,86,76,8,0,,,
0:01:24,21.7,0.3,93,86,76,8,0,,,
0:01:25,21.8,0.4,94,86,76,8,0,,,
0:01:26,21.8,0.4,90,86,76,8,0,,,
0:01:27,21.8,0.4,90,86,76,8,0,,,
0:01:28,21.8,0.4,94,86,77,8,0,,,
0:01:29,21.9,0.4,98,86,77,9,0,,,
0:01:30,22.1,0.4,92,86,77,9,0,,,
0:01:31,21.9,0.4,87,86,77,9,0,,,
0:01:32,21.9,0.4,91,0,76,9,0,,,
0:01:33,21.9,0.4,87,0,76,9,0,,,
0:01:34,21.8,0.4,82,0,76,9,0,,,
0:01:35,21.7,0.4,85,0,76,9,0,,,
0:01:36,21.7,0.4,89,0,76,9,0,,,
0:01:37,21.7,0.4,89,0,76,9,0,,,
0:01:38,21.7,0.4,93,0,76,9,0,,,
0:01:39,21.8,0.4,94,0,76,10,0,,,
0:01:40,21.8,0.4,90,0,76,10,0,,,
0:01:41,21.8,0.4,90,0,76,10,0,,,
0:01:42,21.8,0.5,90,0,76,10,0,,,
0:01:43,21.8,0.5,94,0,77,10,0,,,
0:01:44,21.9,0.5,110,0,79,10,0,,,
0:01:45,22.4,0.5,131,0,80,10,0,,,
0:01:46,23.1,0.5,124,0,81,10,0,,,
0:01:47,23.2,0.5,105,88,81,11,0,,,
0:01:48,23.2,0.5,105,88,81,11,0,,,
0:01:49,23.3,0.5,102,90,81,11,0,,,
0:01:50,23.2,0.5,92,91,81,11,0,,,
0:01:51,23.1,0.5,91,92,80,11,0,,,
0:01:52,22.9,0.5,98,92,80,11,0,,,
0:01:53,23.1,0.5,104,92,81,11,0,,,
0:01:54,23.1,0.5,95,92,81,11,0,,,
0:01:55,23.1,0.5,95,92,80,11,0,,,
0:01:56,22.9,0.5,90,91,79,12,0,,,
0:01:57,22.8,0.5,85,88,79,12,0,,,
0:01:58,22.6,0.6,87,87,79,12,0,,,
0:01:59,22.6,0.6,104,85,79,12,0,,,
0:02:00,22.8,0.6,110,85,80,12,0,,,
0:02:01,22.9,0.6,103,84,80,12,0,,,
0:02:02,22.9,0.6,98,85,80,12,0,,,
0:02:03,22.9,0.6,103,84,80,12,0,,,
0:02:04,23.1,0.6,104,85,81,12,0,,,
0:02:05,23.1,0.6,104,86,81,13,0,,,
0:02:06,23.2,0.6,109,87,81,13,0,,,
0:02:07,23.3,0.6,110,87,82,13,0,,,
0:02:08,23.4,0.6,107,88,82,13,0,,,
0:02:09,23.4,0.6,103,88,82,13,0,,,
0:02:10,23.4,0.6,98,87,82,13,0,,,
0:02:11,23.3,0.6,97,85,82,13,0,,,
0:02:12,23.3,0.6,106,84,82,13,0,,,
0:02:13,23.4,0.6,111,83,82,14,0,,,
0:02:14,23.6,0.6,112,83,83,14,0,,,
0:02:15,23.7,0.7,105,83,82,14,0,,,
0:02:16,23.6,0.7,95,83,82,14,0,,,
0:02:17,23.4,0.7,94,83,82,14,0,,,
0:02:18,23.3,0.7,102,83,82,14,0,,,
0:02:19,23.4,0.7,111,84,82,14,0,,,
0:02:20,23.6,0.7,112,84,83,14,0,,,
0:02:21,23.7,0.7,118,84,84,15,0,,,
0:02:22,23.9,0.7,124,84,84,15,0,,,
0:02:23,24.2,0.7,113,85,84,15,0,,,
0:02:24,24.1,0.7,99,85,84,15,0,,,
0:02:25,23.9,0.7,103,85,83,15,0,,,
0:02:26,23.9,0.7,107,85,84,15,0,,,
0:02:27,23.9,0.7,107,85,84,15,0,,,
0:02:28,23.9,0.7,107,85,84,15,0,,,
0:02:29,23.9,0.7,103,85,83,16,0,,,
0:02:30,23.8,0.7,101,85,83,16,0,,,
0:02:31,23.8,0.7,106,85,83,16,0,,,
0:02:32,23.8,0.8,106,85,83,16,0,,,
0:02:33,23.8,0.8,101,85,83,16,0,,,
0:02:34,23.7,0.8,105,85,83,16,0,,,
0:02:35,23.8,0.8,110,85,83,16,0,,,
0:02:36,23.8,0.8,106,85,83,16,0,,,
0:02:37,23.8,0.8,106,85,83,16,0,,,
0:02:38,23.8,0.8,106,85,83,17,0,,,
0:02:39,23.8,0.8,106,85,83,17,0,,,
0:02:40,23.8,0.8,106,84,83,17,0,,,
0:02:41,23.8,0.8,101,84,83,17,0,,,
0:02:42,23.7,0.8,105,84,83,17,0,,,
0:02:43,23.8,0.8,106,84,83,17,0,,,
0:02:44,23.7,0.8,100,85,83,17,0,,,
0:02:45,23.7,0.8,105,85,83,17,0,,,
0:02:46,23.7,0.8,105,84,83,18,0,,,
0:02:47,23.7,0.8,105,84,83,18,0,,,
0:02:48,23.7,0.9,109,84,83,18,0,,,
0:02:49,23.8,0.9,114,84,83,18,0,,,
0:02:50,23.9,0.9,111,84,84,18,0,,,
0:02:51,23.9,0.9,107,84,84,18,0,,,
0:02:52,23.9,0.9,111,84,84,18,0,,,
0:02:53,24.1,0.9,108,84,84,18,0,,,
0:02:54,23.9,0.9,103,84,84,19,0,,,
0:02:55,23.9,0.9,111,86,84,19,0,,,
0:02:56,24.1,0.9,112,86,84,19,0,,,
0:02:57,24.1,0.9,104,87,84,19,0,,,
0:02:58,23.9,0.9,116,87,85,19,0,,,
0:02:59,24.3,0.9,123,88,85,19,0,,,
0:03:00,24.3,0.9,106,88,85,19,0,,,
0:03:01,24.2,0.9,105,89,84,19,0,,,
0:03:02,24.2,0.9,105,90,84,20,0,,,
0:03:03,24.1,0.9,99,90,83,20,0,,,
0:03:04,23.9,0.9,103,89,83,20,0,,,
0:03:05,23.9,1,103,90,83,20,0,,,
0:03:06,23.8,1,101,89,83,20,0,,,
0:03:07,23.8,1,101,89,83,20,0,,,
0:03:08,23.7,1,100,89,83,20,0,,,
0:03:09,23.7,1,105,89,82,20,0,,,
0:03:10,23.7,1,109,89,83,21,0,,,
0:03:11,23.8,1,114,89,83,21,0,,,
0:03:12,23.9,1,111,89,84,21,0,,,
0:03:13,23.9,1,111,89,84,21,0,,,
0:03:14,24.1,1,117,89,85,21,0,,,
0:03:15,24.2,1,118,89,85,21,0,,,
0:03:16,24.3,1,110,89,85,21,0,,,
0:03:17,24.2,1,109,88,85,21,0,,,
0:03:18,24.3,1,115,88,85,22,0,,,
0:03:19,24.3,1,110,88,85,22,0,,,
0:03:20,24.3,1,115,88,85,22,0,,,
0:03:21,24.5,1,116,88,85,22,0,,,
0:03:22,24.5,1.1,116,87,86,22,0,,,
0:03:23,24.6,1.1,117,87,86,22,0,,,
0:03:24,24.6,1.1,117,87,86,22,0,,,
0:03:25,24.7,1.1,118,87,86,23,0,,,
0:03:26,24.7,1.1,114,88,86,23,0,,,
0:03:27,24.7,1.1,118,88,87,23,0,,,
0:03:28,24.8,1.1,115,88,86,23,0,,,
0:03:29,24.7,1.1,114,88,87,23,0,,,
0:03:30,24.8,1.1,115,88,86,23,0,,,
0:03:31,24.7,1.1,109,88,86,23,0,,,
0:03:32,24.7,1.1,114,88,86,23,0,,,
0:03:33,24.7,1.1,114,88,86,24,0,,,
0:03:34,24.7,1.1,109,88,86,24,0,,,
0:03:35,24.6,1.1,104,88,86,24,0,,,
0:03:36,24.5,1.1,107,88,86,24,0,,,
0:03:37,24.5,1.1,116,88,86,24,0,,,
0:03:38,24.6,1.2,117,88,86,24,0,,,
0:03:39,24.6,1.2,112,88,86,24,0,,,
0:03:40,24.6,1.2,108,88,85,24,0,,,
0:03:41,24.5,1.2,107,88,85,25,0,,,
0:03:42,24.5,1.2,111,88,86,25,0,,,
0:03:43,24.5,1.2,111,88,86,25,0,,,
0:03:44,24.5,1.2,116,88,86,25,0,,,
0:03:45,24.6,1.2,126,89,87,25,0,,,
0:03:46,24.8,1.2,133,91,88,25,0,,,
0:03:47,25.1,1.2,130,92,88,25,0,,,
0:03:48,25.2,1.2,118,94,88,26,0,,,
0:03:49,25.1,1.2,117,94,88,26,0,,,
0:03:50,25.2,1.2,127,94,89,26,0,,,
0:03:51,25.3,1.2,128,94,89,26,0,,,
0:03:52,25.5,1.2,130,94,89,26,0,,,
0:03:53,25.6,1.2,126,94,89,26,0,,,
0:03:54,25.6,1.3,117,94,89,26,0,,,
0:03:55,25.5,1.3,116,94,89,27,0,,,
0:03:56,25.5,1.3,116,93,89,27,0,,,
0:03:57,25.3,1.3,115,92,88,27,0,,,
0:03:58,25.3,1.3,119,91,88,27,0,,,
0:03:59,25.3,1.3,124,90,89,27,0,,,
0:04:00,25.5,1.3,121,90,89,27,0,,,
0:04:01,25.3,1.3,110,89,88,27,0,,,
0:04:02,25.2,1.3,114,88,88,28,0,,,
0:04:03,25.2,1.3,123,88,88,28,0,,,
0:04:04,25.3,1.3,119,87,88,28,0,,,
0:04:05,25.2,1.3,114,87,88,28,0,,,
0:04:06,25.2,1.3,118,87,88,28,0,,,
0:04:07,25.2,1.3,118,87,88,28,0,,,
0:04:08,25.2,1.4,118,87,88,28,0,,,
0:04:09,25.2,1.4,118,86,88,28,0,,,
0:04:10,25.2,1.4,118,87,88,29,0,,,
0:04:11,25.2,1.4,118,87,88,29,0,,,
0:04:12,25.2,1.4,123,87,88,29,0,,,
0:04:13,25.3,1.4,124,87,88,29,0,,,
0:04:14,25.3,1.4,119,88,88,29,0,,,
0:04:15,25.3,1.4,119,88,88,29,0,,,
0:04:16,25.3,1.4,119,89,88,29,0,,,
0:04:17,25.3,1.4,119,89,88,30,0,,,
0:04:18,25.3,1.4,124,89,88,30,0,,,
0:04:19,25.5,1.4,125,89,89,30,0,,,
0:04:20,25.5,1.4,125,90,89,30,0,,,
0:04:21,25.6,1.4,131,90,90,30,0,,,
0:04:22,25.7,1.4,132,91,90,30,0,,,
0:04:23,25.8,1.5,133,92,91,30,0,,,
0:04:24,26,1.5,135,93,91,31,0,,,
0:04:25,26.1,1.5,131,94,91,31,0,,,
0:04:26,26.1,1.5,127,94,91,31,0,,,
0:04:27,26.1,1.5,131,95,92,31,0,,,
0:04:28,26.2,1.5,128,95,91,31,0,,,
0:04:29,26.1,1.5,122,95,91,31,0,,,
0:04:30,26.1,1.5,127,95,91,32,0,,,
0:04:31,26.1,1.5,127,95,91,32,0,,,
0:04:32,26.1,1.5,122,95,91,32,0,,,
0:04:33,26,1.5,116,95,90,32,0,,,
0:04:34,25.8,1.5,119,95,90,32,0,,,
0:04:35,25.8,1.5,124,95,90,32,0,,,
0:04:36,25.8,1.5,124,95,90,32,0,,,
0:04:37,25.8,1.6,119,95,90,33,0,,,
0:04:38,25.7,1.6,114,95,89,33,0,,,
0:04:39,25.6,1.6,117,95,89,33,0,,,
0:04:40,25.6,1.6,117,94,89,33,0,,,
0:04:41,25.5,1.6,116,94,89,33,0,,,
0:04:42,25.5,1.6,111,94,88,33,0,,,
0:04:43,25.2,1.6,114,94,88,33,0,,,
0:04:44,25.3,1.6,124,94,89,33,0,,,
0:04:45,25.3,1.6,124,94,89,34,0,,,
0:04:46,25.5,1.6,121,94,89,34,0,,,
0:04:47,25.3,1.6,115,95,88,34,0,,,
0:04:48,25.3,1.6,110,95,88,34,0,,,
0:04:49,25.1,1.6,108,96,87,34,0,,,
0:04:50,25.1,1.6,108,95,87,34,0,,,
0:04:51,24.8,1.6,110,95,87,34,0,,,
0:04:52,25,1.7,120,94,87,35,0,,,
0:04:53,25,1.7,111,94,86,35,0,,,
0:04:54,24.8,1.7,101,93,85,35,0,,,
0:04:55,24.6,1.7,99,92,86,35,0,,,
0:04:56,24.5,1.7,111,92,86,35,0,,,
0:04:57,24.6,1.7,112,92,86,35,0,,,
0:04:58,24.5,1.7,107,92,86,35,0,,,
0:04:59,24.5,1.7,111,92,85,35,0,,,
0:05:00,24.5,1.7,107,92,85,36,0,,,
0:05:01,24.3,1.7,101,92,85,36,0,,,
0:05:02,24.2,1.7,109,92,85,36,0,,,
0:05:03,24.3,1.7,128,92,86,36,0,,,
0:05:04,24.7,1.7,136,92,87,36,0,,,
0:05:05,25,1.7,129,93,87,36,0,,,
0:05:06,25.1,1.7,126,92,88,36,0,,,
0:05:07,25.2,1.7,132,93,89,37,0,,,
0:05:08,25.5,1.8,130,93,89,37,0,,,
0:05:09,25.5,1.8,116,94,89,37,0,,,
0:05:10,25.3,1.8,110,94,88,37,0,,,
0:05:11,25.2,1.8,109,95,88,37,0,,,
0:05:12,25.1,1.8,108,96,87,37,0,,,
0:05:13,25,1.8,111,96,87,37,0,,,
0:05:14,25,1.8,116,96,87,37,0,,,
0:05:15,25,1.8,120,97,88,38,0,,,
0:05:16,25.1,1.8,121,97,88,38,0,,,
0:05:17,25.1,1.8,117,96,88,38,0,,,
0:05:18,25.1,1.8,122,96,88,38,0,,,
0:05:19,25.2,1.8,123,96,88,38,0,,,
0:05:20,25.2,1.8,114,95,88,38,0,,,
0:05:21,25.1,1.8,108,95,87,38,0,,,
0:05:22,25,1.8,107,93,87,39,0,,,
0:05:23,24.8,1.8,119,93,87,39,0,,,
0:05:24,25.1,1.9,130,92,88,39,0,,,
0:05:25,25.2,1.9,123,92,88,39,0,,,
0:05:26,25.2,1.9,118,92,88,39,0,,,
0:05:27,25.2,1.9,114,92,88,39,0,,,
0:05:28,25.1,1.9,117,92,88,39,0,,,
0:05:29,25.2,1.9,132,93,89,39,0,,,
0:05:30,25.5,1.9,130,93,89,40,0,,,
0:05:31,25.5,1.9,125,93,89,40,0,,,
0:05:32,25.6,1.9,126,93,89,40,0,,,
0:05:33,25.6,1.9,122,93,89,40,0,,,
0:05:34,25.6,1.9,117,93,89,40,0,,,
0:05:35,25.5,1.9,116,93,89,40,0,,,
0:05:36,25.5,1.9,125,93,89,40,0,,,
0:05:37,25.6,1.9,131,94,90,41,0,,,
0:05:38,25.7,2,128,94,90,41,0,,,
0:05:39,25.7,2,137,94,91,41,0,,,
0:05:40,26.1,2,150,94,92,41,0,,,
0:05:41,26.3,2,134,94,91,41,0,,,
0:05:42,26.2,2,114,94,91,41,0,,,
0:05:43,26,2,111,94,90,42,0,,,
0:05:44,25.8,2,119,94,90,42,0,,,
0:05:45,25.8,2,124,95,90,42,0,,,
0:05:46,25.8,2,129,96,91,42,0,,,
0:05:47,26,2,135,96,91,42,0,,,
0:05:48,26.1,2,131,96,91,42,0,,,
0:05:49,26.1,2,131,96,92,42,0,,,
0:05:50,26.2,2,133,96,91,43,0,,,
0:05:51,26.2,2,128,95,91,43,0,,,
0:05:52,26.2,2,123,95,91,43,0,,,
0:05:53,26.1,2.1,117,95,90,43,0,,,
0:05:54,26,2.1,116,95,90,43,0,,,
0:05:55,25.8,2.1,119,95,90,43,0,,,
0:05:56,25.8,2.1,124,97,90,43,0,,,
0:05:57,25.8,2.1,124,97,90,44,0,,,
0:05:58,25.8,2.1,124,98,90,44,0,,,
0:05:59,25.8,2.1,124,98,90,44,0,,,
0:06:00,25.8,2.1,129,98,90,44,0,,,
0:06:01,26,2.1,130,97,90,44,0,,,
0:06:02,26,2.1,121,97,90,44,0,,,
0:06:03,25.8,2.1,129,97,90,44,0,,,
0:06:04,25.8,2.1,129,96,91,45,0,,,
0:06:05,26.1,2.1,141,96,91,45,0,,,
0:06:06,26.2,2.1,133,95,92,45,0,,,
0:06:07,26.2,2.2,128,95,91,45,0,,,
0:06:08,26.2,2.2,128,95,92,45,0,,,
0:06:09,26.2,2.2,137,95,92,45,0,,,
0:06:10,26.5,2.2,140,95,92,46,0,,,
0:06:11,26.5,2.2,135,95,93,46,0,,,
0:06:12,26.6,2.2,141,95,93,46,0,,,
0:06:13,26.7,2.2,147,95,94,46,0,,,
0:06:14,27,2.2,150,95,95,46,0,,,
0:06:15,27.1,2.2,151,96,95,46,0,,,
0:06:16,27.4,2.2,154,96,96,47,0,,,
0:06:17,27.5,2.2,151,97,96,47,0,,,
0:06:18,27.6,2.2,142,97,96,47,0,,,
0:06:19,27.5,2.2,131,98,96,47,0,,,
0:06:20,27.4,2.2,135,99,95,47,0,,,
0:06:21,27.4,2.3,139,99,96,47,0,,,
0:06:22,27.4,2.3,139,99,96,48,0,,,
0:06:23,27.4,2.3,144,98,96,48,0,,,
0:06:24,27.5,2.3,146,98,96,48,0,,,
0:06:25,27.5,2.3,141,98,96,48,0,,,
0:06:26,27.5,2.3,141,98,96,48,0,,,
0:06:27,27.5,2.3,141,98,96,48,0,,,
0:06:28,27.5,2.3,151,98,97,49,0,,,
0:06:29,27.7,2.3,163,99,98,49,0,,,
0:06:30,28,2.3,161,99,90,49,0,,,
0:06:31,28.1,2.3,173,100,86,49,0,,,
0:06:32,28.6,2.3,179,100,87,49,0,,,
0:06:33,28.7,2.3,170,100,88,49,0,,,
0:06:34,29,2.3,173,101,88,50,0,,,
0:06:35,29.1,2.4,175,101,88,50,0,,,
0:06:36,29.4,2.4,178,101,89,50,0,,,
0:06:37,29.5,2.4,169,102,89,50,0,,,
0:06:38,29.5,2.4,169,103,89,50,0,,,
0:06:39,29.6,2.4,165,102,89,51,0,,,
0:06:40,29.5,2.4,158,102,89,51,0,,,
0:06:41,29.5,2.4,158,102,89,51,0,,,
0:06:42,29.4,2.4,157,102,89,51,0,,,
0:06:43,29.4,2.4,162,102,88,51,0,,,
0:06:44,29.4,2.4,162,103,89,52,0,,,
0:06:45,29.4,2.4,173,104,89,52,0,,,
0:06:46,29.6,2.4,170,104,89,52,0,,,
0:06:47,29.5,2.4,153,105,89,52,0,,,
0:06:48,29.4,2.5,157,105,88,52,0,,,
0:06:49,29.4,2.5,162,105,89,53,0,,,
0:06:50,29.4,2.5,167,105,89,53,0,,,
0:06:51,29.5,2.5,169,105,89,53,0,,,
0:06:52,29.5,2.5,169,105,89,53,0,,,
0:06:53,29.6,2.5,170,105,90,53,0,,,
0:06:54,29.6,2.5,170,106,90,54,0,,,
0:06:55,29.8,2.5,177,105,90,54,0,,,
0:06:56,29.9,2.5,168,106,90,54,0,,,
0:06:57,29.8,2.5,156,106,89,54,0,,,
0:06:58,29.6,2.5,160,106,89,54,0,,,
0:06:59,29.6,2.5,170,106,90,54,0,,,
0:07:00,29.8,2.6,172,107,90,55,0,,,
0:07:01,29.8,2.6,167,107,90,55,0,,,
0:07:02,29.8,2.6,167,107,90,55,0,,,
0:07:03,29.8,2.6,172,107,90,55,0,,,
0:07:04,29.9,2.6,174,107,90,55,0,,,
0:07:05,29.9,2.6,168,107,90,56,0,,,
0:07:06,29.9,2.6,163,107,90,56,0,,,
0:07:07,29.8,2.6,161,107,90,56,0,,,
0:07:08,29.8,2.6,167,108,90,56,0,,,
0:07:09,29.8,2.6,161,107,89,56,0,,,
0:07:10,29.6,2.6,154,107,89,57,0,,,
0:07:11,29.5,2.6,153,107,89,57,0,,,
0:07:12,29.4,2.6,146,107,88,57,0,,,
0:07:13,29.1,2.7,159,107,88,57,0,,,
0:07:14,29.4,2.7,173,106,89,57,0,,,
0:07:15,29.4,2.7,162,106,89,58,0,,,
0:07:16,29.4,2.7,173,106,89,58,0,,,
0:07:17,29.6,2.7,181,106,90,58,0,,,
0:07:18,29.8,2.7,172,107,90,58,0,,,
0:07:19,29.8,2.7,172,106,90,58,0,,,
0:07:20,29.9,2.7,174,107,90,59,0,,,
0:07:21,29.9,2.7,168,107,90,59,0,,,
0:07:22,29.9,2.7,168,107,90,59,0,,,
0:07:23,29.9,2.7,174,106,90,59,0,,,
0:07:24,30,2.7,175,106,90,59,0,,,
0:07:25,30,2.8,164,106,90,60,0,,,
0:07:26,29.9,2.8,163,106,90,60,0,,,
0:07:27,29.9,2.8,168,106,90,60,0,,,
0:07:28,29.9,2.8,163,106,90,60,0,,,
0:07:29,29.8,2.8,151,106,89,60,0,,,
0:07:30,29.5,2.8,137,106,88,60,0,,,
0:07:31,29.1,2.8,133,106,87,61,0,,,
0:07:32,28.9,2.8,151,107,87,61,0,,,
0:07:33,29,2.8,168,107,88,61,0,,,
0:07:34,29.1,2.8,175,106,88,61,0,,,
0:07:35,29.4,2.8,173,106,89,61,0,,,
0:07:36,29.4,2.8,173,106,89,62,0,,,
0:07:37,29.6,2.8,186,105,90,62,0,,,
0:07:38,29.9,2.9,184,105,90,62,0,,,
0:07:39,30,2.9,181,105,91,62,0,,,
0:07:40,30.1,2.9,188,105,92,62,0,,,
0:07:41,30.4,2.9,202,105,93,63,0,,,
0:07:42,30.8,2.9,207,106,94,63,0,,,
0:07:43,31,2.9,194,106,93,63,0,,,
0:07:44,31,2.9,177,107,93,63,0,,,
0:07:45,30.9,2.9,175,107,93,64,0,,,
0:07:46,30.9,2.9,175,108,93,64,0,,,
0:07:47,30.8,2.9,168,109,93,64,0,,,
0:07:48,30.6,2.9,178,109,93,64,0,,,
0:07:49,30.8,2.9,185,110,93,64,0,,,
0:07:50,30.8,3,179,110,93,65,0,,,
0:07:51,30.8,3,185,109,93,65,0,,,
0:07:52,30.9,3,192,109,94,65,0,,,
0:07:53,31,3,188,109,94,65,0,,,
0:07:54,31,3,183,109,93,65,0,,,
0:07:55,31,3,183,109,93,66,0,,,
0:07:56,31,3,177,109,93,66,0,,,
0:07:57,30.9,3,170,110,93,66,0,,,
0:07:58,30.8,3,174,110,93,66,0,,,
0:07:59,30.8,3,174,110,92,66,0,,,
0:08:00,30.6,3,172,111,92,67,0,,,
0:08:01,30.6,3,200,111,93,67,0,,,
0:08:02,31.1,3,229,111,95,67,0,,,
0:08:03,31.7,3.1,231,111,88,67,0,,,
0:08:04,32,3.1,242,111,87,68,0,,,
0:08:05,32.7,3.1,270,112,90,68,0,,,
0:08:06,33.4,3.1,276,112,91,68,0,,,
0:08:07,33.9,3.1,266,113,92,69,0,,,
0:08:08,34.3,3.1,260,113,93,69,0,,,
0:08:09,34.6,3.1,264,114,93,69,0,,,
0:08:10,34.9,3.1,277,115,94,70,0,,,
0:08:11,35.3,3.1,277,116,96,70,0,,,
0:08:12,35.6,3.1,269,116,96,70,0,,,
0:08:13,35.7,3.1,264,117,96,70,0,,,
0:08:14,35.8,3.2,266,118,97,71,0,,,
0:08:15,35.9,3.2,269,118,97,71,0,,,
0:08:16,36.1,3.2,264,119,97,71,0,,,
0:08:17,36.1,3.2,264,119,98,72,0,,,
0:08:18,36.2,3.2,266,119,98,72,0,,,
0:08:19,36.2,3.2,260,120,97,72,0,,,
0:08:20,36.2,3.2,253,120,97,73,0,,,
0:08:21,36.1,3.2,245,120,97,73,0,,,
0:08:22,35.9,3.2,249,121,97,73,0,,,
0:08:23,35.9,3.2,249,121,97,73,0,,,
0:08:24,35.8,3.3,247,122,96,74,0,,,
0:08:25,35.8,3.3,247,122,96,74,0,,,
0:08:26,35.7,3.3,258,122,97,74,0,,,
0:08:27,35.9,3.3,269,122,97,75,0,,,
0:08:28,35.9,3.3,262,123,97,75,0,,,
0:08:29,36.1,3.3,264,123,97,75,0,,,
0:08:30,36.1,3.3,258,124,97,76,0,,,
0:08:31,36.1,3.3,258,124,97,76,0,,,
0:08:32,36.1,3.3,251,125,97,76,0,,,
0:08:33,35.9,3.3,256,126,97,76,0,,,
0:08:34,36.1,3.3,271,126,98,77,0,,,
0:08:35,36.2,3.4,273,127,98,77,0,,,
0:08:36,36.3,3.4,275,127,98,77,0,,,
0:08:37,36.5,3.4,271,127,98,78,0,,,
0:08:38,36.5,3.4,264,128,98,78,0,,,
0:08:39,36.5,3.4,258,128,98,78,0,,,
0:08:40,36.3,3.4,256,128,98,79,0,,,
