LeMond, Revolution,FW 50,HW 02,08/20,16:48:28,Alt 1432,Temp 25,Hum 46,Tire 2097,CF 150
TIME,SPEED,DIST,POWER,HEART RATE,CADENCE,CALORIES,TARGET
0:00:39,024.4,000.2,0105,098,097,0005,180<PWR<133,
0:00:40,024.5,000.2,0102,099,097,0005,180<PWR<133,
0:00:41,024.4,000.2,0097,099,097,0005,180<PWR<133,
0:00:42,024.4,000.2,0105,100,097,0005,180<PWR<133,
0:00:43,024.5,000.2,0102,100,097,0005,180<PWR<133,
0:00:44,024.4,000.2,0092,101,100,0005,180<PWR<133,
0:00:45,024.2,000.2,0087,101,101,0005,180<PWR<133,
0:00:46,024.0,000.2,0064,101,099,0005,180<PWR<133,
0:00:47,023.2,000.2,0042,101,090,0005,180<PWR<133,
0:00:48,022.5,000.2,0067,101,090,0005,180<PWR<133,
0:00:49,022.6,000.2,0096,101,091,0006,180<PWR<133,
0:00:50,022.7,000.2,0097,101,092,0006,180<PWR<133,
0:00:51,022.8,000.2,0102,101,093,0006,180<PWR<133,
0:00:52,023.1,000.3,0108,101,093,0006,180<PWR<133,
0:00:53,023.4,000.3,0098,101,093,0006,180<PWR<133,
0:00:54,023.2,000.3,0093,100,093,0006,180<PWR<133,
0:00:55,023.4,000.3,0094,099,092,0006,180<PWR<133,
0:00:56,023.2,000.3,0084,099,092,0006,180<PWR<133,
0:00:57,023.1,000.3,0088,098,092,0006,180<PWR<133,
0:00:58,023.1,000.3,0092,097,092,0006,180<PWR<133,
0:00:59,023.1,000.3,0096,097,093,0007,180<PWR<133,
0:01:00,023.2,000.3,0101,096,094,0007,180<PWR<133,
0:01:01,023.4,000.3,0106,096,094,0007,180<PWR<133,
0:01:02,023.6,000.3,0104,097,094,0007,180<PWR<133,
0:01:03,023.6,000.3,0091,097,094,0007,180<PWR<133,
0:01:04,023.5,000.3,0090,097,093,0007,180<PWR<133,
0:01:05,023.5,000.3,0094,097,094,0007,180<PWR<133,
0:01:06,023.5,000.3,0094,098,094,0007,180<PWR<133,
0:01:07,023.5,000.3,0099,098,094,0008,180<PWR<133,
0:01:08,023.6,000.3,0100,098,094,0008,180<PWR<133,
0:01:09,023.6,000.4,0095,098,094,0008,180<PWR<133,
0:01:10,023.6,000.4,0095,098,094,0008,180<PWR<133,
0:01:11,023.6,000.4,0095,098,094,0008,180<PWR<133,
0:01:12,023.6,000.4,0091,097,094,0008,180<PWR<133,
0:01:13,023.5,000.4,0090,097,094,0008,180<PWR<133,
0:01:14,023.5,000.4,0099,097,094,0008,180<PWR<133,
0:01:15,023.6,000.4,0095,096,094,0008,180<PWR<133,
0:01:16,023.5,000.4,0090,097,094,0008,180<PWR<133,
0:01:17,023.5,000.4,0094,097,093,0009,180<PWR<133,
0:01:18,023.5,000.4,0090,097,093,0009,180<PWR<133,
0:01:19,023.4,000.4,0089,097,093,0009,180<PWR<133,
0:01:20,023.4,000.4,0094,097,093,0009,180<PWR<133,
0:01:21,023.4,000.4,0094,097,093,0009,180<PWR<133,
0:01:22,023.4,000.4,0089,097,093,0009,180<PWR<133,
0:01:23,023.2,000.4,0088,097,092,0009,180<PWR<133,
0:01:24,023.2,000.4,0088,097,092,0009,180<PWR<133,
0:01:25,023.1,000.4,0088,097,092,0009,180<PWR<133,
0:01:26,023.1,000.5,0100,097,093,0010,180<PWR<133,
0:01:27,023.4,000.5,0102,096,093,0010,180<PWR<133,
0:01:28,023.4,000.5,0094,096,093,0010,180<PWR<133,
0:01:29,023.4,000.5,0094,097,093,0010,180<PWR<133,
0:01:30,023.4,000.5,0094,096,093,0010,180<PWR<133,
0:01:31,023.4,000.5,0098,096,094,0010,180<PWR<133,
0:01:32,023.5,000.5,0099,096,094,0010,180<PWR<133,
0:01:33,023.5,000.5,0099,096,094,0010,180<PWR<133,
0:01:34,023.6,000.5,0100,096,094,0010,180<PWR<133,
0:01:35,023.6,000.5,0095,096,094,0011,180<PWR<133,
0:01:36,023.6,000.5,0087,097,093,0011,180<PWR<133,
0:01:37,023.4,000.5,0081,097,093,0011,180<PWR<133,
0:01:38,023.2,000.5,0088,096,093,0011,180<PWR<133,
0:01:39,023.2,000.5,0093,096,092,0011,180<PWR<133,
0:01:40,023.2,000.5,0093,095,092,0011,180<PWR<133,
0:01:41,023.2,000.5,0093,095,093,0011,180<PWR<133,
0:01:42,023.2,000.6,0093,095,093,0011,180<PWR<133,
0:01:43,023.2,000.6,0097,095,093,0011,180<PWR<133,
0:01:44,023.4,000.6,0102,094,094,0012,180<PWR<133,
0:01:45,023.5,000.6,0099,095,094,0012,180<PWR<133,
0:01:46,023.5,000.6,0099,095,093,0012,180<PWR<133,
0:01:47,023.6,000.6,0095,095,093,0012,180<PWR<133,
0:01:48,023.6,000.6,0095,094,092,0012,180<PWR<133,
0:01:49,023.6,000.6,0095,094,092,0012,180<PWR<133,
0:01:50,023.6,000.6,0095,094,092,0012,180<PWR<133,
0:01:51,023.5,000.6,0082,094,092,0012,180<PWR<133,
0:01:52,023.2,000.6,0084,094,092,0012,180<PWR<133,
0:01:53,023.2,000.6,0093,093,092,0012,180<PWR<133,
0:01:54,023.2,000.6,0088,093,093,0013,180<PWR<133,
0:01:55,023.1,000.6,0096,094,094,0013,180<PWR<133,
0:01:56,023.4,000.6,0115,094,095,0013,180<PWR<133,
0:01:57,023.7,000.6,0109,094,095,0013,180<PWR<133,
0:01:58,023.7,000.6,0109,094,096,0013,180<PWR<133,
0:01:59,023.7,000.7,0109,094,095,0013,180<PWR<133,
0:02:00,023.7,000.7,0109,095,095,0013,180<PWR<133,
0:02:01,023.7,000.7,0109,096,095,0013,180<PWR<133,
0:02:02,023.7,000.7,0105,096,096,0014,180<PWR<133,
0:02:03,024.0,000.7,0111,096,096,0014,180<PWR<133,
0:02:04,024.1,000.7,0103,097,096,0014,180<PWR<133,
0:02:05,024.1,000.7,0099,098,096,0014,180<PWR<133,
0:02:06,024.1,000.7,0099,098,096,0014,180<PWR<133,
0:02:07,024.1,000.7,0099,098,096,0014,180<PWR<133,
0:02:08,024.1,000.7,0095,098,096,0014,180<PWR<133,
0:02:09,024.0,000.7,0094,098,095,0014,180<PWR<133,
0:02:10,024.0,000.7,0098,098,096,0015,180<PWR<133,
0:02:11,024.0,000.7,0098,098,096,0015,180<PWR<133,
0:02:12,024.0,000.7,0103,098,096,0015,180<PWR<133,
0:02:13,024.1,000.7,0108,098,097,0015,180<PWR<133,
0:02:14,024.2,000.7,0109,099,097,0015,180<PWR<133,
0:02:15,024.4,000.7,0105,099,097,0015,180<PWR<133,
0:02:16,024.4,000.8,0097,099,097,0015,180<PWR<133,
0:02:17,024.2,000.8,0096,099,096,0015,180<PWR<133,
0:02:18,024.2,000.8,0096,099,096,0015,180<PWR<133,
0:02:19,024.1,000.8,0095,099,096,0016,180<PWR<133,
0:02:20,024.1,000.8,0095,099,096,0016,180<PWR<133,
0:02:21,024.0,000.8,0098,099,096,0016,180<PWR<133,
0:02:22,024.1,000.8,0099,099,096,0016,180<PWR<133,
0:02:23,024.0,000.8,0094,099,096,0016,180<PWR<133,
0:02:24,024.0,000.8,0103,100,096,0016,180<PWR<133,
0:02:25,024.1,000.8,0103,100,096,0016,180<PWR<133,
0:02:26,024.1,000.8,0099,100,096,0016,180<PWR<133,
0:02:27,024.1,000.8,0099,100,096,0016,180<PWR<133,
0:02:28,024.1,000.8,0099,100,096,0017,180<PWR<133,
0:02:29,024.1,000.8,0099,100,096,0017,180<PWR<133,
0:02:30,024.1,000.8,0099,100,096,0017,180<PWR<133,
0:02:31,024.1,000.8,0099,100,096,0017,180<PWR<133,
0:02:32,024.1,000.9,0095,100,095,0017,180<PWR<133,
0:02:33,024.0,000.9,0094,100,095,0017,180<PWR<133,
0:02:34,024.0,000.9,0094,100,095,0017,180<PWR<133,
0:02:35,023.9,000.9,0093,099,095,0017,180<PWR<133,
0:02:36,023.9,000.9,0097,099,095,0017,180<PWR<133,
0:02:37,023.9,000.9,0093,099,094,0018,180<PWR<133,
0:02:38,023.7,000.9,0092,099,095,0018,180<PWR<133,
0:02:39,023.7,000.9,0096,099,095,0018,180<PWR<133,
0:02:40,023.7,000.9,0101,099,095,0018,180<PWR<133,
0:02:41,023.9,000.9,0102,099,095,0018,180<PWR<133,
0:02:42,023.9,000.9,0093,100,095,0018,180<PWR<133,
0:02:43,023.7,000.9,0092,100,094,0018,180<PWR<133,
0:02:44,023.7,000.9,0096,100,095,0018,180<PWR<133,
0:02:45,023.7,000.9,0096,100,094,0018,180<PWR<133,
0:02:46,023.7,000.9,0096,100,095,0019,180<PWR<133,
0:02:47,023.7,000.9,0096,100,095,0019,180<PWR<133,
0:02:48,023.7,000.9,0101,100,095,0019,180<PWR<133,
0:02:49,023.9,001.0,0097,100,095,0019,180<PWR<133,
0:02:50,023.7,001.0,0092,100,086,0019,180<PWR<133,
0:02:51,023.7,001.0,0105,099,068,0019,180<PWR<133,
0:02:52,024.0,001.0,0156,100,075,0019,180<PWR<133,
0:02:53,025.4,001.0,0327,100,083,0020,180<PWR<133,
0:02:54,029.6,001.0,0513,101,094,0020,180<PWR<133,
0:02:55,033.9,001.0,0533,101,102,0021,180<PWR<133,
0:02:56,036.7,001.0,0478,102,104,0021,180<PWR<133,
0:02:57,038.6,001.0,0431,103,106,0022,180<PWR<133,
0:02:58,039.7,001.0,0369,104,109,0022,180<PWR<133,
0:02:59,040.1,001.0,0312,105,109,0023,180<PWR<133,
0:03:00,040.1,001.0,0290,107,108,0023,180<PWR<133,
0:03:01,040.1,001.1,0297,108,109,0023,180<PWR<133,
0:03:02,040.2,001.1,0300,109,105,0024,180<PWR<133,
0:03:03,040.2,001.1,0314,110,104,0024,180<PWR<133,
0:03:04,040.6,001.1,0358,111,105,0025,180<PWR<133,
0:03:05,041.2,001.1,0362,112,106,0025,180<PWR<133,
0:03:06,041.5,001.1,0337,113,106,0025,180<PWR<133,
0:03:07,041.6,001.1,0325,114,106,0026,180<PWR<133,
0:03:08,041.6,001.1,0310,115,106,0026,180<PWR<133,
0:03:09,041.5,001.1,0277,115,104,0026,180<PWR<133,
0:03:10,041.0,001.2,0246,116,103,0027,180<PWR<133,
0:03:11,040.5,001.2,0238,116,102,0027,180<PWR<133,
0:03:12,040.0,001.2,0230,117,100,0027,180<PWR<133,
0:03:13,039.5,001.2,0237,117,099,0028,180<PWR<133,
0:03:14,039.2,001.2,0247,118,099,0028,180<PWR<133,
0:03:15,039.0,001.2,0257,118,099,0028,180<PWR<133,
0:03:16,039.0,001.2,0278,118,100,0028,180<PWR<133,
0:03:17,039.1,001.2,0287,119,100,0029,180<PWR<133,
0:03:18,039.2,001.2,0289,119,100,0029,180<PWR<133,
0:03:19,039.3,001.3,0284,120,100,0029,180<PWR<133,
0:03:20,039.3,001.3,0263,120,099,0030,180<PWR<133,
0:03:21,039.1,001.3,0252,120,099,0030,180<PWR<133,
0:03:22,039.0,001.3,0271,121,099,0030,180<PWR<133,
0:03:23,039.1,001.3,0273,121,099,0031,180<PWR<133,
0:03:24,039.0,001.3,0250,121,099,0031,180<PWR<133,
0:03:25,038.7,001.3,0260,121,099,0031,180<PWR<133,
0:03:26,038.8,001.3,0276,121,099,0032,180<PWR<133,
0:03:27,038.8,001.3,0262,121,098,0032,180<PWR<133,
0:03:28,038.7,001.3,0246,121,098,0032,180<PWR<133,
0:03:29,038.5,001.4,0256,121,098,0032,180<PWR<133,
0:03:30,038.6,001.4,0279,122,099,0033,180<PWR<133,
0:03:31,038.7,001.4,0274,122,098,0033,180<PWR<133,
0:03:32,038.7,001.4,0267,122,099,0033,180<PWR<133,
0:03:33,038.7,001.4,0267,122,099,0034,180<PWR<133,
0:03:34,038.7,001.4,0274,123,099,0034,180<PWR<133,
0:03:35,038.8,001.4,0269,123,099,0034,180<PWR<133,
0:03:36,038.7,001.4,0260,123,098,0035,180<PWR<133,
0:03:37,038.7,001.4,0260,124,098,0035,180<PWR<133,
0:03:38,038.6,001.4,0265,124,099,0035,180<PWR<133,
0:03:39,038.7,001.5,0274,124,099,0036,180<PWR<133,
0:03:40,038.7,001.5,0267,125,099,0036,180<PWR<133,
0:03:41,038.7,001.5,0267,125,098,0036,180<PWR<133,
0:03:42,038.7,001.5,0267,125,098,0037,180<PWR<133,
0:03:43,038.7,001.5,0267,126,098,0037,180<PWR<133,
0:03:44,038.7,001.5,0260,126,098,0037,180<PWR<133,
0:03:45,038.6,001.5,0244,126,097,0037,180<PWR<133,
0:03:46,038.3,001.5,0233,127,096,0038,180<PWR<133,
0:03:47,038.1,001.5,0229,127,096,0038,180<PWR<133,
0:03:48,037.8,001.5,0239,127,096,0038,180<PWR<133,
0:03:49,037.8,001.6,0239,127,096,0039,180<PWR<133,
0:03:50,037.6,001.6,0236,127,096,0039,180<PWR<133,
0:03:51,037.6,001.6,0283,127,097,0039,180<PWR<133,
0:03:52,038.2,001.6,0307,127,098,0039,180<PWR<133,
0:03:53,038.5,001.6,0270,128,098,0040,180<PWR<133,
0:03:54,038.3,001.6,0199,128,095,0040,180<PWR<133,
0:03:55,037.3,001.6,0137,127,093,0040,180<PWR<133,
0:03:56,036.3,001.6,0138,127,090,0040,180<PWR<133,
0:03:57,035.6,001.6,0143,127,089,0040,180<PWR<133,
0:03:58,034.8,001.6,0140,127,087,0041,180<PWR<133,
0:03:59,034.2,001.6,0145,127,086,0041,180<PWR<133,
0:04:00,033.7,001.7,0152,126,085,0041,180<PWR<133,
0:04:01,033.3,001.7,0154,126,086,0041,180<PWR<133,
0:04:02,032.9,001.7,0149,126,088,0041,180<PWR<133,
0:04:03,032.5,001.7,0151,126,087,0042,180<PWR<133,
0:04:04,032.3,001.7,0148,125,086,0042,180<PWR<133,
0:04:05,031.9,001.7,0144,125,085,0042,180<PWR<133,
0:04:06,031.7,001.7,0147,124,094,0042,180<PWR<133,
0:04:07,031.4,001.7,0133,124,092,0042,180<PWR<133,
0:04:08,030.9,001.7,0117,123,091,0042,180<PWR<133,
0:04:09,030.4,001.7,0118,123,090,0042,180<PWR<133,
0:04:10,030.0,001.7,0120,123,089,0043,180<PWR<133,
0:04:11,029.6,001.7,0121,123,089,0043,180<PWR<133,
0:04:12,029.4,001.8,0124,123,088,0043,180<PWR<133,
0:04:13,029.1,001.8,0127,123,088,0043,180<PWR<133,
0:04:14,029.0,001.8,0131,123,087,0043,180<PWR<133,
0:04:15,028.9,001.8,0135,122,088,0043,180<PWR<133,
0:04:16,028.9,001.8,0151,122,088,0044,180<PWR<133,
0:04:17,029.1,001.8,0159,122,089,0044,180<PWR<133,
0:04:18,029.3,001.8,0155,121,089,0044,180<PWR<133,
0:04:19,029.4,001.8,0151,121,089,0044,180<PWR<133,
0:04:20,029.4,001.8,0146,121,089,0044,180<PWR<133,
0:04:21,029.4,001.8,0151,121,090,0044,180<PWR<133,
0:04:22,029.5,001.8,0158,121,090,0045,180<PWR<133,
0:04:23,029.6,001.8,0154,121,090,0045,180<PWR<133,
0:04:24,029.6,001.9,0148,121,090,0045,180<PWR<133,
0:04:25,029.6,001.9,0148,121,090,0045,180<PWR<133,
0:04:26,029.6,001.9,0154,121,090,0045,180<PWR<133,
0:04:27,029.8,001.9,0160,121,091,0045,180<PWR<133,
0:04:28,029.9,001.9,0162,122,091,0046,180<PWR<133,
0:04:29,030.0,001.9,0158,121,091,0046,180<PWR<133,
0:04:30,030.0,001.9,0152,121,091,0046,180<PWR<133,
0:04:31,030.0,001.9,0147,121,091,0046,180<PWR<133,
0:04:32,029.9,001.9,0145,121,090,0046,180<PWR<133,
0:04:33,029.9,001.9,0151,122,090,0047,180<PWR<133,
0:04:34,029.9,001.9,0151,122,090,0047,180<PWR<133,
0:04:35,029.9,001.9,0151,121,090,0047,180<PWR<133,
0:04:36,029.9,001.9,0151,121,090,0047,180<PWR<133,
0:04:37,029.9,002.0,0151,121,090,0047,180<PWR<133,
0:04:38,029.9,002.0,0156,120,091,0047,180<PWR<133,
0:04:39,030.0,002.0,0158,120,091,0048,180<PWR<133,
0:04:40,030.0,002.0,0152,120,091,0048,180<PWR<133,
0:04:41,030.0,002.0,0158,120,092,0048,180<PWR<133,
0:04:42,030.1,002.0,0170,120,092,0048,180<PWR<133,
0:04:43,030.4,002.0,0173,120,093,0048,180<PWR<133,
0:04:44,030.5,002.0,0180,120,093,0049,180<PWR<133,
0:04:45,030.9,002.0,0178,121,094,0049,180<PWR<133,
0:04:46,030.9,002.0,0162,121,094,0049,180<PWR<133,
0:04:47,030.9,002.0,0162,120,094,0049,180<PWR<133,
0:04:48,030.9,002.0,0162,120,093,0049,180<PWR<133,
0:04:49,030.9,002.1,0150,120,093,0049,180<PWR<133,
0:04:50,030.7,002.1,0148,120,093,0050,180<PWR<133,
0:04:51,030.7,002.1,0153,120,092,0050,180<PWR<133,
0:04:52,030.5,002.1,0157,120,093,0050,180<PWR<133,
0:04:53,030.7,002.1,0181,120,094,0050,180<PWR<133,
0:04:54,031.0,002.1,0197,120,096,0050,180<PWR<133,
0:04:55,031.4,002.1,0213,120,097,0051,180<PWR<133,
0:04:56,032.0,002.1,0226,120,100,0051,180<PWR<133,
0:04:57,032.5,002.1,0246,120,104,0051,180<PWR<133,
0:04:58,033.4,002.1,0282,120,104,0052,180<PWR<133,
0:04:59,034.4,002.1,0260,120,104,0052,180<PWR<133,
0:05:00,034.6,002.1,0206,120,103,0052,180<PWR<133,
0:05:01,034.4,002.2,0179,120,103,0052,180<PWR<133,
0:05:02,034.0,002.2,0175,121,103,0053,180<PWR<133,
0:05:03,033.9,002.2,0191,120,103,0053,180<PWR<133,
0:05:04,033.9,002.2,0210,121,104,0053,180<PWR<133,
0:05:05,034.2,002.2,0232,121,105,0053,180<PWR<133,
0:05:06,034.6,002.2,0243,121,095,0054,180<PWR<133,
0:05:07,034.9,002.2,0268,122,097,0054,180<PWR<133,
0:05:08,035.7,002.2,0299,122,098,0054,180<PWR<133,
0:05:09,036.4,002.2,0298,123,101,0055,180<PWR<133,
0:05:10,036.9,002.2,0286,123,101,0055,180<PWR<133,
0:05:11,037.3,002.2,0279,123,102,0055,180<PWR<133,
0:05:12,037.6,002.3,0276,124,103,0056,180<PWR<133,
0:05:13,037.8,002.3,0280,124,103,0056,180<PWR<133,
0:05:14,038.1,002.3,0271,124,103,0056,180<PWR<133,
0:05:15,038.1,002.3,0250,125,103,0056,180<PWR<133,
0:05:16,037.9,002.3,0241,125,102,0057,180<PWR<133,
0:05:17,037.8,002.3,0246,125,102,0057,180<PWR<133,
0:05:18,037.8,002.3,0253,126,102,0057,180<PWR<133,
0:05:19,037.8,002.3,0253,126,102,0058,180<PWR<133,
0:05:20,037.8,002.3,0246,126,102,0058,180<PWR<133,
0:05:21,037.7,002.3,0237,126,102,0058,180<PWR<133,
0:05:22,037.6,002.4,0242,126,102,0058,180<PWR<133,
0:05:23,037.6,002.4,0249,126,101,0059,180<PWR<133,
0:05:24,037.6,002.4,0242,126,101,0059,180<PWR<133,
0:05:25,037.4,002.4,0234,126,101,0059,180<PWR<133,
0:05:26,037.3,002.4,0232,126,101,0060,180<PWR<133,
0:05:27,037.2,002.4,0230,126,100,0060,180<PWR<133,
0:05:28,037.1,002.4,0235,127,100,0060,180<PWR<133,
0:05:29,037.1,002.4,0241,127,100,0060,180<PWR<133,
0:05:30,037.1,002.4,0235,127,100,0061,180<PWR<133,
0:05:31,036.9,002.4,0233,126,100,0061,180<PWR<133,
0:05:32,036.9,002.5,0233,126,100,0061,180<PWR<133,
0:05:33,036.8,002.5,0244,126,100,0061,180<PWR<133,
0:05:34,037.1,002.5,0261,127,101,0062,180<PWR<133,
0:05:35,037.2,002.5,0257,127,101,0062,180<PWR<133,
0:05:36,037.3,002.5,0259,127,101,0062,180<PWR<133,
0:05:37,037.4,002.5,0247,127,101,0063,180<PWR<133,
0:05:38,037.3,002.5,0238,127,100,0063,180<PWR<133,
0:05:39,037.3,002.5,0232,128,100,0063,180<PWR<133,
0:05:40,037.1,002.5,0221,127,100,0063,180<PWR<133,
0:05:41,036.9,002.5,0226,128,099,0064,180<PWR<133,
0:05:42,036.8,002.6,0218,128,099,0064,180<PWR<133,
0:05:43,036.6,002.6,0214,128,099,0064,180<PWR<133,
0:05:44,036.4,002.6,0232,128,099,0064,180<PWR<133,
0:05:45,036.6,002.6,0241,128,098,0065,180<PWR<133,
0:05:46,036.6,002.6,0214,128,098,0065,180<PWR<133,
0:05:47,036.2,002.6,0196,127,097,0065,180<PWR<133,
0:05:48,035.9,002.6,0212,127,097,0065,180<PWR<133,
0:05:49,035.9,002.6,0244,127,099,0066,180<PWR<133,
0:05:50,036.3,002.6,0270,127,099,0066,180<PWR<133,
0:05:51,036.7,002.6,0262,127,100,0066,180<PWR<133,
0:05:52,036.8,002.7,0258,127,101,0067,180<PWR<133,
0:05:53,037.1,002.7,0255,127,100,0067,180<PWR<133,
0:05:54,037.1,002.7,0195,127,108,0067,180<PWR<133,
0:05:55,036.2,002.7,0105,127,102,0067,180<PWR<133,
0:05:56,034.7,002.7,0057,126,105,0067,180<PWR<133,
0:05:57,033.2,002.7,0050,126,103,0067,180<PWR<133,
0:05:58,031.8,002.7,0045,125,104,0068,180<PWR<133,
0:05:59,030.4,002.7,0040,125,104,0068,180<PWR<133,
0:06:00,029.1,002.7,0038,124,106,0068,180<PWR<133,
0:06:01,027.9,002.7,0040,124,104,0068,180<PWR<133,
0:06:02,026.9,002.7,0044,123,104,0068,180<PWR<133,
0:06:03,025.9,002.7,0038,123,105,0068,180<PWR<133,
0:06:04,024.9,002.8,0037,122,106,0068,180<PWR<133,
0:06:05,024.0,002.8,0046,122,098,0068,180<PWR<133,
0:06:06,023.4,002.8,0089,122,097,0068,180<PWR<133,
0:06:07,023.9,002.8,0136,121,098,0068,180<PWR<133,
0:06:08,024.5,002.8,0137,121,099,0068,180<PWR<133,
0:06:09,024.9,002.8,0123,121,100,0068,180<PWR<133,
0:06:10,025.0,002.8,0110,120,099,0069,180<PWR<133,
0:06:11,025.0,002.8,0106,120,099,0069,180<PWR<133,
0:06:12,025.0,002.8,0101,120,099,0069,180<PWR<133,
0:06:13,024.9,002.8,0096,119,099,0069,180<PWR<133,
0:06:14,024.7,002.8,0099,119,098,0069,180<PWR<133,
0:06:15,024.7,002.8,0099,119,098,0069,180<PWR<133,
0:06:16,024.6,002.8,0094,118,098,0069,180<PWR<133,
0:06:17,024.5,002.8,0098,118,097,0069,180<PWR<133,
0:06:18,024.5,002.8,0098,118,097,0069,180<PWR<133,
0:06:19,024.4,002.8,0097,117,098,0070,180<PWR<133,
0:06:20,024.4,002.8,0105,117,098,0070,180<PWR<133,
0:06:21,024.5,002.9,0111,117,098,0070,180<PWR<133,
0:06:22,024.6,002.9,0107,116,098,0070,180<PWR<133,
0:06:23,024.6,002.9,0107,116,099,0070,180<PWR<133,
0:06:24,024.7,002.9,0113,116,099,0070,180<PWR<133,
0:06:25,024.9,002.9,0109,116,099,0070,180<PWR<133,
0:06:26,024.9,002.9,0105,116,100,0070,180<PWR<133,
0:06:27,024.9,002.9,0109,116,100,0071,180<PWR<133,
0:06:28,025.0,002.9,0110,116,100,0071,180<PWR<133,
0:06:29,025.0,002.9,0106,117,099,0071,180<PWR<133,
0:06:30,025.0,002.9,0106,117,100,0071,180<PWR<133,
0:06:31,025.0,002.9,0106,117,100,0071,180<PWR<133,
0:06:32,025.0,002.9,0106,117,099,0071,180<PWR<133,
0:06:33,025.0,002.9,0101,116,098,0071,180<PWR<133,
0:06:34,024.9,002.9,0091,116,098,0071,180<PWR<133,
0:06:35,024.6,002.9,0090,116,098,0071,180<PWR<133,
0:06:36,024.5,002.9,0098,115,097,0072,180<PWR<133,
0:06:37,024.5,003.0,0102,115,098,0072,180<PWR<133,
0:06:38,024.5,003.0,0102,115,098,0072,180<PWR<133,
0:06:39,024.5,003.0,0106,115,098,0072,180<PWR<133,
0:06:40,024.6,003.0,0107,115,098,0072,180<PWR<133,
0:06:41,024.6,003.0,0107,114,099,0072,180<PWR<133,
0:06:42,024.7,003.0,0113,114,099,0072,180<PWR<133,
0:06:43,024.9,003.0,0109,113,099,0072,180<PWR<133,
0:06:44,024.9,003.0,0105,113,099,0073,180<PWR<133,
0:06:45,024.9,003.0,0100,112,098,0073,180<PWR<133,
0:06:46,024.7,003.0,0095,112,098,0073,180<PWR<133,
0:06:47,024.6,003.0,0094,110,099,0073,180<PWR<133,
0:06:48,024.5,003.0,0080,109,100,0073,180<PWR<133,
0:06:49,024.0,003.0,0051,107,099,0073,180<PWR<133,
0:06:50,023.1,003.0,0041,106,100,0073,180<PWR<133,
0:06:51,022.5,003.0,0067,106,099,0073,180<PWR<133,
0:06:52,022.5,003.0,0079,106,098,0073,180<PWR<133,
0:06:53,022.2,003.0,0074,106,098,0073,180<PWR<133,
0:06:54,022.1,003.1,0081,106,098,0073,180<PWR<133,
0:06:55,022.1,003.1,0081,106,097,0074,180<PWR<133,
0:06:56,022.0,003.1,0080,106,098,0074,180<PWR<133,
0:06:57,022.0,003.1,0084,105,098,0074,180<PWR<133,
0:06:58,022.0,003.1,0092,105,099,0074,180<PWR<133,
