LeMond, Revolution,FW 50,HW 02,30-Mar,18:33:17,Alt 30,Temp 25,Hum 45,Tire 2105,CF 150
0:01:50,23.6,0.6,95,87,71,12,0,,,
0:01:51,23.6,0.6,108,87,71,12,0,,,
0:01:52,23.7,0.6,109,89,71,13,0,,,
0:01:53,23.7,0.6,105,90,71,13,0,,,
0:01:54,23.7,0.6,100,90,71,13,0,,,
0:01:55,23.6,0.6,95,90,71,13,0,,,
0:01:56,23.4,0.6,98,91,71,13,0,,,
0:01:57,23.4,0.6,98,92,71,13,0,,,
0:01:58,23.3,0.6,93,92,70,13,0,,,
0:01:59,23.2,0.6,96,92,70,13,0,,,
0:02:00,23.2,0.6,96,92,70,13,0,,,
0:02:01,23.1,0.6,95,92,70,14,0,,,
0:02:02,23.1,0.6,99,93,70,14,0,,,
0:02:03,23.1,0.6,99,94,69,14,0,,,
0:02:04,23.1,0.6,99,94,70,14,0,,,
0:02:05,23.1,0.7,99,94,70,14,0,,,
0:02:06,23.1,0.7,104,94,70,14,0,,,
0:02:07,23.2,0.7,105,93,70,14,0,,,
0:02:08,23.2,0.7,96,92,70,14,0,,,
0:02:09,23.1,0.7,95,92,70,14,0,,,
0:02:10,23.1,0.7,99,91,70,15,0,,,
0:02:11,23.1,0.7,104,91,70,15,0,,,
0:02:12,23.2,0.7,105,92,70,15,0,,,
0:02:13,23.2,0.7,105,93,70,15,0,,,
0:02:14,23.3,0.7,110,93,70,15,0,,,
0:02:15,23.4,0.7,107,95,71,15,0,,,
0:02:16,23.4,0.7,107,95,71,15,0,,,
0:02:17,23.6,0.7,108,96,71,15,0,,,
0:02:18,23.6,0.7,104,96,71,16,0,,,
0:02:19,23.6,0.7,99,97,71,16,0,,,
0:02:20,23.4,0.7,98,97,71,16,0,,,
0:02:21,23.4,0.7,103,98,71,16,0,,,
0:02:22,23.4,0.8,103,98,71,16,0,,,
0:02:23,23.4,0.8,107,98,71,16,0,,,
0:02:24,23.6,0.8,108,99,71,16,0,,,
0:02:25,23.6,0.8,104,99,71,16,0,,,
0:02:26,23.6,0.8,104,99,71,17,0,,,
0:02:27,23.6,0.8,104,99,71,17,0,,,
0:02:28,23.6,0.8,99,99,71,17,0,,,
0:02:29,23.4,0.8,77,99,34,17,0,,,
0:02:30,22.8,0.8,48,98,34,17,0,,,
0:02:31,21.9,0.8,39,97,34,17,0,,,
0:02:32,21.2,0.8,54,96,21,17,0,,,
0:02:33,20.9,0.8,91,96,65,17,0,,,
0:02:34,21.4,0.8,114,96,66,17,0,,,
0:02:35,21.8,0.8,113,95,67,17,0,,,
0:02:36,22.2,0.8,108,96,67,18,0,,,
0:02:37,22.3,0.8,97,96,67,18,0,,,
0:02:38,22.3,0.8,102,96,68,18,0,,,
0:02:39,22.6,0.9,108,96,68,18,0,,,
0:02:40,22.7,0.9,88,97,68,18,0,,,
0:02:41,22.3,0.9,54,96,35,18,0,,,
0:02:42,21.4,0.9,33,96,35,18,0,,,
0:02:43,20.5,0.9,32,96,35,18,0,,,
0:02:44,19.8,0.9,33,96,0,18,0,,,
0:02:45,19,0.9,33,96,0,18,0,,,
0:02:46,18.4,0.9,34,93,0,18,0,,,
0:02:47,17.8,0.9,31,90,0,18,0,,,
0:02:48,17.1,0.9,35,88,0,18,0,,,
0:02:49,16.7,0.9,93,87,7,18,0,,,
0:02:50,18.5,0.9,143,87,58,19,0,,,
0:02:51,19.7,0.9,120,88,60,19,0,,,
0:02:52,20.2,0.9,100,88,61,19,0,,,
0:02:53,20.4,0.9,91,88,62,19,0,,,
0:02:54,20.5,0.9,99,88,62,19,0,,,
0:02:55,21,0.9,107,88,63,19,0,,,
0:02:56,21.3,0.9,101,88,64,19,0,,,
0:02:57,21.5,0.9,103,88,65,19,0,,,
0:02:58,21.8,0.9,105,89,66,20,0,,,
0:02:59,22.1,1,99,89,66,20,0,,,
0:03:00,22.1,1,95,89,67,20,0,,,
0:03:01,22.2,1,96,89,67,20,0,,,
0:03:02,22.2,1,92,89,67,20,0,,,
0:03:03,22.2,1,92,89,67,20,0,,,
0:03:04,22.2,1,92,89,67,20,0,,,
0:03:05,22.2,1,92,89,67,20,0,,,
0:03:06,22.2,1,92,0,67,20,0,,,
0:03:07,22.2,1,96,0,67,21,0,,,
0:03:08,22.3,1,101,0,68,21,0,,,
0:03:09,22.4,1,98,0,68,21,0,,,
0:03:10,22.4,1,98,0,68,21,0,,,
0:03:11,22.6,1,99,0,68,21,0,,,
0:03:12,22.6,1,95,0,68,21,0,,,
0:03:13,22.6,1,95,0,68,21,0,,,
0:03:14,22.6,1,99,0,68,21,0,,,
0:03:15,22.7,1.1,100,0,68,21,0,,,
0:03:16,22.7,1.1,101,0,69,22,0,,,
0:03:17,22.8,1.1,102,0,69,22,0,,,
0:03:18,22.8,1.1,97,0,69,22,0,,,
0:03:19,22.8,1.1,110,0,70,22,0,,,
0:03:20,23.2,1.1,126,0,70,22,0,,,
0:03:21,23.6,1.1,121,0,64,22,0,,,
0:03:22,23.7,1.1,100,0,70,22,0,,,
0:03:23,23.4,1.1,98,0,71,22,0,,,
0:03:24,23.6,1.1,112,0,71,23,0,,,
0:03:25,23.7,1.1,113,0,72,23,0,,,
0:03:26,23.8,1.1,114,0,72,23,0,,,
0:03:27,23.9,1.1,115,88,73,23,0,,,
0:03:28,24.1,1.1,112,88,72,23,0,,,
0:03:29,24.1,1.1,104,87,72,23,0,,,
0:03:30,23.9,1.1,107,87,72,23,0,,,
0:03:31,24.1,1.1,108,87,72,23,0,,,
0:03:32,23.9,1.2,98,87,72,24,0,,,
0:03:33,23.8,1.2,93,87,71,24,0,,,
0:03:34,23.6,1.2,87,87,70,24,0,,,
0:03:35,23.3,1.2,93,88,70,24,0,,,
0:03:36,23.3,1.2,102,88,70,24,0,,,
0:03:37,23.3,1.2,106,89,70,24,0,,,
0:03:38,23.4,1.2,103,90,70,24,0,,,
0:03:39,23.3,1.2,97,90,70,24,0,,,
0:03:40,23.3,1.2,102,90,70,24,0,,,
0:03:41,23.3,1.2,106,90,71,25,0,,,
0:03:42,23.4,1.2,103,90,70,25,0,,,
0:03:43,23.3,1.2,97,90,70,25,0,,,
0:03:44,23.3,1.2,102,91,70,25,0,,,
0:03:45,23.3,1.2,106,90,70,25,0,,,
0:03:46,23.4,1.2,107,90,71,25,0,,,
0:03:47,23.4,1.2,107,90,71,25,0,,,
0:03:48,23.6,1.2,108,89,71,25,0,,,
0:03:49,23.6,1.3,104,90,71,26,0,,,
0:03:50,23.6,1.3,104,90,71,26,0,,,
0:03:51,23.6,1.3,108,90,71,26,0,,,
0:03:52,23.7,1.3,113,90,72,26,0,,,
0:03:53,23.8,1.3,110,90,72,26,0,,,
0:03:54,23.8,1.3,114,90,72,26,0,,,
0:03:55,24.1,1.3,121,90,73,26,0,,,
0:03:56,24.2,1.3,122,91,73,26,0,,,
0:03:57,24.5,1.3,120,92,74,27,0,,,
0:03:58,24.5,1.3,116,93,74,27,0,,,
0:03:59,24.6,1.3,121,93,74,27,0,,,
0:04:00,24.7,1.3,118,94,74,27,0,,,
0:04:01,24.7,1.3,109,95,74,27,0,,,
0:04:02,24.6,1.3,108,95,74,27,0,,,
0:04:03,24.6,1.3,117,95,74,27,0,,,
0:04:04,24.7,1.3,118,95,74,28,0,,,
0:04:05,24.7,1.4,109,94,74,28,0,,,
0:04:06,24.6,1.4,108,94,74,28,0,,,
0:04:07,24.6,1.4,112,94,74,28,0,,,
0:04:08,24.6,1.4,108,94,74,28,0,,,
0:04:09,24.5,1.4,107,94,74,28,0,,,
0:04:10,24.5,1.4,111,93,74,28,0,,,
0:04:11,24.5,1.4,116,93,74,28,0,,,
0:04:12,24.6,1.4,117,92,74,29,0,,,
0:04:13,24.6,1.4,108,92,74,29,0,,,
0:04:14,24.5,1.4,107,92,74,29,0,,,
0:04:15,24.5,1.4,111,92,74,29,0,,,
0:04:16,24.5,1.4,111,92,74,29,0,,,
0:04:17,24.5,1.4,111,92,74,29,0,,,
0:04:18,24.5,1.4,116,92,74,29,0,,,
0:04:19,24.6,1.4,112,92,74,29,0,,,
0:04:20,24.5,1.4,107,92,74,30,0,,,
0:04:21,24.5,1.4,111,92,74,30,0,,,
0:04:22,24.5,1.5,116,93,74,30,0,,,
0:04:23,24.6,1.5,117,92,74,30,0,,,
0:04:24,24.6,1.5,112,92,74,30,0,,,
0:04:25,24.6,1.5,117,91,74,30,0,,,
0:04:26,24.7,1.5,118,91,74,30,0,,,
0:04:27,24.7,1.5,122,91,75,31,0,,,
0:04:28,25,1.5,134,93,76,31,0,,,
0:04:29,25.2,1.5,141,92,77,31,0,,,
0:04:30,25.6,1.5,159,92,79,31,0,,,
0:04:31,26.2,1.5,195,92,82,31,0,,,
0:04:32,27.4,1.5,193,92,83,31,0,,,
0:04:33,27.6,1.5,162,93,84,32,0,,,
0:04:34,27.9,1.5,155,94,84,32,0,,,
0:04:35,27.9,1.5,145,94,84,32,0,,,
0:04:36,27.9,1.5,140,95,84,32,0,,,
0:04:37,27.7,1.6,129,94,83,32,0,,,
0:04:38,27.5,1.6,126,95,83,32,0,,,
0:04:39,27.4,1.6,130,96,82,33,0,,,
0:04:40,27.2,1.6,128,96,82,33,0,,,
0:04:41,27.1,1.6,127,96,81,33,0,,,
0:04:42,27,1.6,121,96,81,33,0,,,
0:04:43,26.7,1.6,118,96,80,33,0,,,
0:04:44,26.6,1.6,127,96,80,33,0,,,
0:04:45,26.6,1.6,136,96,81,33,0,,,
0:04:46,26.7,1.6,133,95,80,34,0,,,
0:04:47,26.6,1.6,127,94,80,34,0,,,
0:04:48,26.6,1.6,132,94,80,34,0,,,
0:04:49,26.6,1.6,136,94,81,34,0,,,
0:04:50,26.7,1.6,138,94,81,34,0,,,
0:04:51,26.7,1.7,133,95,81,34,0,,,
0:04:52,26.7,1.7,128,95,81,35,0,,,
0:04:53,26.6,1.7,122,96,80,35,0,,,
0:04:54,26.5,1.7,126,95,80,35,0,,,
0:04:55,26.5,1.7,130,95,80,35,0,,,
0:04:56,26.5,1.7,135,95,80,35,0,,,
0:04:57,26.6,1.7,132,95,80,35,0,,,
0:04:58,26.5,1.7,126,95,80,35,0,,,
0:04:59,26.5,1.7,130,95,102,36,0,,,
0:05:00,26.5,1.7,106,95,102,36,0,,,
0:05:01,25.8,1.7,59,96,67,36,0,,,
0:05:02,24.7,1.7,33,96,67,36,0,,,
0:05:03,23.6,1.7,52,96,25,36,0,,,
0:05:04,23.2,1.7,126,96,73,36,0,,,
0:05:05,24.3,1.7,171,96,75,36,0,,,
0:05:06,25,1.8,151,97,89,36,0,,,
0:05:07,25.3,1.8,142,97,89,37,0,,,
0:05:08,25.6,1.8,135,97,90,37,0,,,
0:05:09,25.7,1.8,123,97,89,37,0,,,
0:05:10,25.6,1.8,112,97,89,37,0,,,
0:05:11,25.5,1.8,111,97,88,37,0,,,
0:05:12,25.3,1.8,105,97,88,37,0,,,
0:05:13,25.1,1.8,103,96,87,37,0,,,
0:05:14,25,1.8,107,96,87,37,0,,,
0:05:15,24.8,1.8,110,96,87,38,0,,,
0:05:16,24.8,1.8,110,96,86,38,0,,,
0:05:17,24.7,1.8,104,96,86,38,0,,,
0:05:18,24.6,1.8,103,96,85,38,0,,,
0:05:19,24.5,1.8,102,96,85,38,0,,,
0:05:20,24.3,1.8,105,96,85,38,0,,,
0:05:21,24.3,1.8,110,96,85,38,0,,,
0:05:22,24.3,1.9,110,95,85,38,0,,,
0:05:23,24.3,1.9,114,95,85,39,0,,,
0:05:24,24.5,1.9,111,95,85,39,0,,,
0:05:25,24.3,1.9,101,95,84,39,0,,,
0:05:26,24.2,1.9,100,95,84,39,0,,,
0:05:27,24.1,1.9,108,94,85,39,0,,,
0:05:28,24.2,1.9,113,94,85,39,0,,,
0:05:29,24.2,1.9,113,94,85,39,0,,,
0:05:30,24.3,1.9,110,94,85,39,0,,,
0:05:31,24.2,1.9,104,94,84,40,0,,,
0:05:32,24.2,1.9,109,93,84,40,0,,,
0:05:33,24.2,1.9,118,94,85,40,0,,,
0:05:34,24.5,1.9,133,93,87,40,0,,,
0:05:35,24.8,1.9,132,94,87,40,0,,,
0:05:36,25,1.9,125,96,88,40,0,,,
0:05:37,25.1,1.9,121,97,88,40,0,,,
0:05:38,25.1,1.9,117,97,88,41,0,,,
0:05:39,25.1,2,117,97,88,41,0,,,
0:05:40,25.1,2,117,97,88,41,0,,,
0:05:41,25.1,2,112,97,87,41,0,,,
0:05:42,25,2,107,97,87,41,0,,,
0:05:43,24.8,2,105,97,86,41,0,,,
0:05:44,24.7,2,104,96,86,41,0,,,
0:05:45,24.6,2,108,96,86,41,0,,,
0:05:46,24.6,2,112,95,86,42,0,,,
0:05:47,24.6,2,112,95,86,42,0,,,
0:05:48,24.6,2,112,94,86,42,0,,,
0:05:49,24.6,2,117,94,86,42,0,,,
0:05:50,24.7,2,122,93,86,42,0,,,
0:05:51,24.8,2,114,92,87,42,0,,,
0:05:52,24.7,2,113,92,87,42,0,,,
0:05:53,24.8,2,123,93,87,43,0,,,
0:05:54,25,2,120,93,87,43,0,,,
0:05:55,25,2.1,120,94,88,43,0,,,
0:05:56,25.1,2.1,121,94,87,43,0,,,
0:05:57,25.1,2.1,117,95,88,43,0,,,
0:05:58,25.1,2.1,117,95,88,43,0,,,
0:05:59,25.1,2.1,117,95,88,43,0,,,
0:06:00,25.1,2.1,117,94,88,44,0,,,
0:06:01,25.1,2.1,117,94,88,44,0,,,
0:06:02,25.1,2.1,117,94,88,44,0,,,
0:06:03,25.1,2.1,117,94,88,44,0,,,
0:06:04,25.1,2.1,117,94,88,44,0,,,
0:06:05,25.1,2.1,117,95,88,44,0,,,
0:06:06,25.1,2.1,121,95,88,44,0,,,
0:06:07,25.2,2.1,122,95,88,44,0,,,
0:06:08,25.2,2.1,118,95,88,45,0,,,
0:06:09,25.2,2.1,122,95,88,45,0,,,
0:06:10,25.3,2.1,124,94,88,45,0,,,
0:06:11,25.3,2.2,88,93,88,45,0,,,
0:06:12,24.5,2.2,45,93,24,45,0,,,
0:06:13,23.4,2.2,85,93,84,45,0,,,
0:06:14,23.9,2.2,146,93,86,45,0,,,
0:06:15,24.6,2.2,143,93,87,45,0,,,
0:06:16,24.8,2.2,132,93,88,46,0,,,
0:06:17,25.1,2.2,126,94,88,46,0,,,
0:06:18,25.1,2.2,117,95,88,46,0,,,
0:06:19,25.1,2.2,182,97,96,46,0,,,
0:06:20,26.9,2.2,249,98,98,46,0,,,
0:06:21,28.1,2.2,228,98,102,47,0,,,
0:06:22,28.9,2.2,229,99,105,47,0,,,
0:06:23,29.9,2.2,210,100,104,47,0,,,
0:06:24,29.9,2.2,141,100,101,47,0,,,
0:06:25,29.3,2.2,118,100,100,47,0,,,
0:06:26,28.9,2.3,125,101,100,48,0,,,
0:06:27,28.5,2.3,126,101,98,48,0,,,
0:06:28,28.2,2.3,123,100,97,48,0,,,
0:06:29,27.9,2.3,129,100,97,48,0,,,
0:06:30,27.9,2.3,144,100,97,48,0,,,
0:06:31,27.9,2.3,139,100,97,48,0,,,
0:06:32,27.7,2.3,128,100,96,49,0,,,
0:06:33,27.5,2.3,116,100,94,49,0,,,
0:06:34,27.1,2.3,107,100,94,49,0,,,
0:06:35,26.7,2.3,108,99,93,49,0,,,
0:06:36,26.5,2.3,116,99,92,49,0,,,
0:06:37,26.3,2.3,119,100,91,49,0,,,
0:06:38,26.2,2.3,113,99,91,49,0,,,
0:06:39,26,2.3,106,99,90,49,0,,,
0:06:40,25.7,2.4,109,99,89,50,0,,,
0:06:41,25.6,2.4,108,99,89,50,0,,,
0:06:42,25.3,2.4,105,99,88,50,0,,,
0:06:43,25.2,2.4,118,99,88,50,0,,,
0:06:44,25.3,2.4,128,99,89,50,0,,,
0:06:45,25.5,2.4,125,99,89,50,0,,,
0:06:46,25.5,2.4,120,99,89,50,0,,,
0:06:47,25.5,2.4,125,100,89,51,0,,,
0:06:48,25.6,2.4,135,100,90,51,0,,,
0:06:49,25.8,2.4,133,100,90,51,0,,,
0:06:50,25.8,2.4,128,99,90,51,0,,,
0:06:51,26,2.4,134,99,91,51,0,,,
0:06:52,26.1,2.4,131,99,91,51,0,,,
0:06:53,26.1,2.4,122,99,91,51,0,,,
0:06:54,26,2.4,111,98,90,52,0,,,
0:06:55,25.7,2.5,113,98,90,52,0,,,
0:06:56,25.7,2.5,127,98,90,52,0,,,
0:06:57,25.8,2.5,128,98,90,52,0,,,
0:06:58,25.8,2.5,124,98,90,52,0,,,
0:06:59,25.8,2.5,124,98,90,52,0,,,
0:07:00,25.8,2.5,119,99,90,52,0,,,
0:07:01,25.7,2.5,113,99,89,53,0,,,
0:07:02,25.6,2.5,112,100,89,53,0,,,
0:07:03,25.5,2.5,111,100,89,53,0,,,
0:07:04,25.3,2.5,114,99,89,53,0,,,
0:07:05,25.3,2.5,124,99,89,53,0,,,
0:07:06,25.5,2.5,111,99,33,53,0,,,
0:07:07,25.1,2.5,63,98,33,53,0,,,
0:07:08,23.9,2.5,33,98,33,53,0,,,
0:07:09,22.9,2.6,36,98,33,53,0,,,
0:07:10,22.1,2.6,36,98,0,53,0,,,
0:07:11,21.2,2.6,35,98,0,53,0,,,
0:07:12,20.4,2.6,35,98,0,53,0,,,
0:07:13,19.7,2.6,32,98,0,54,0,,,
0:07:14,18.9,2.6,29,99,0,54,0,,,
0:07:15,18.1,2.6,29,100,0,54,0,,,
0:07:16,17.5,2.6,30,100,0,54,0,,,
0:07:17,16.9,2.6,30,100,0,54,0,,,
0:07:18,16.4,2.6,32,100,0,54,0,,,
0:07:19,15.9,2.6,30,94,0,54,0,,,
0:07:20,15.4,2.6,25,91,0,54,0,,,
0:07:21,14.7,2.6,23,89,0,54,0,,,
0:07:22,14.2,2.6,24,87,0,54,0,,,
0:07:23,13.7,2.6,25,85,0,54,0,,,
0:07:24,13.3,2.6,27,84,0,54,0,,,
0:07:25,13,2.6,25,84,0,54,0,,,
0:07:26,12.6,2.6,50,84,3,54,0,,,
0:07:27,13.6,2.6,112,87,52,54,0,,,
0:07:28,16,2.6,140,88,59,54,0,,,
0:07:29,17.5,2.6,124,88,63,54,0,,,
0:07:30,18.5,2.6,107,88,65,55,0,,,
0:07:31,19,2.6,98,88,67,55,0,,,
0:07:32,19.5,2.6,98,86,68,55,0,,,
0:07:33,19.9,2.7,98,84,71,55,0,,,
0:07:34,20.3,2.7,97,83,72,55,0,,,
0:07:35,20.5,2.7,99,82,72,55,0,,,
0:07:36,20.9,2.7,102,81,73,55,0,,,
0:07:37,21.2,2.7,100,80,74,55,0,,,
0:07:38,21.4,2.7,106,80,76,55,0,,,
0:07:39,21.8,2.7,109,81,77,56,0,,,
0:07:40,22.1,2.7,107,80,77,56,0,,,
0:07:41,22.3,2.7,105,80,78,56,0,,,
0:07:42,22.4,2.7,102,81,78,56,0,,,
0:07:43,22.6,2.7,99,80,79,56,0,,,
0:07:44,22.6,2.7,99,80,79,56,0,,,
0:07:45,22.7,2.7,104,80,79,56,0,,,
0:07:46,22.8,2.7,105,80,80,56,0,,,
0:07:47,22.9,2.7,106,82,81,57,0,,,
0:07:48,23.1,2.7,112,83,81,57,0,,,
0:07:49,23.3,2.7,114,85,82,57,0,,,
0:07:50,23.4,2.7,111,86,82,57,0,,,
0:07:51,23.6,2.8,112,89,83,57,0,,,
0:07:52,23.7,2.8,113,91,83,57,0,,,
0:07:53,23.8,2.8,114,91,83,57,0,,,
0:07:54,23.9,2.8,120,91,84,57,0,,,
0:07:55,24.2,2.8,117,92,84,58,0,,,
0:07:56,24.2,2.8,104,92,84,58,0,,,
0:07:57,24.1,2.8,103,92,84,58,0,,,
0:07:58,24.1,2.8,130,93,86,58,0,,,
0:07:59,24.7,2.8,153,93,80,58,0,,,
0:08:00,25.2,2.8,163,93,79,58,0,,,
0:08:01,26,2.8,162,94,79,59,0,,,
0:08:02,26.2,2.8,142,95,79,59,0,,,
0:08:03,26.3,2.8,143,95,81,59,0,,,
0:08:04,26.6,2.8,185,94,83,59,0,,,
0:08:05,27.7,2.8,249,95,87,59,0,,,
0:08:06,29.3,2.9,254,95,91,60,0,,,
0:08:07,30,2.9,240,96,94,60,0,,,
0:08:08,30.9,2.9,247,97,95,60,0,,,
0:08:09,31.5,2.9,240,98,96,60,0,,,
0:08:10,32,2.9,230,97,97,61,0,,,
0:08:11,32.3,2.9,228,99,98,61,0,,,
0:08:12,32.7,2.9,228,100,99,61,0,,,
0:08:13,32.8,2.9,212,100,99,62,0,,,
0:08:14,32.8,2.9,218,101,100,62,0,,,
0:08:15,33,2.9,227,102,100,62,0,,,
0:08:16,33.2,2.9,235,103,101,62,0,,,
0:08:17,33.5,2.9,241,103,101,63,0,,,
0:08:18,33.7,3,237,104,102,63,0,,,
0:08:19,33.9,3,253,104,93,63,0,,,
0:08:20,34.3,3,278,105,95,63,0,,,
0:08:21,34.9,3,295,106,95,64,0,,,
0:08:22,35.4,3,285,108,96,64,0,,,
0:08:23,35.7,3,270,108,97,64,0,,,
0:08:24,35.8,3,272,109,97,65,0,,,
0:08:25,36.1,3,276,110,98,65,0,,,
0:08:26,36.2,3,279,111,98,65,0,,,
0:08:27,36.5,3,277,111,98,66,0,,,
0:08:28,36.5,3.1,263,111,98,66,0,,,
0:08:29,36.5,3.1,270,112,98,66,0,,,
0:08:30,36.6,3.1,272,113,98,67,0,,,
0:08:31,36.6,3.1,259,114,98,67,0,,,
0:08:32,36.5,3.1,270,116,99,67,0,,,
0:08:33,36.7,3.1,281,117,99,68,0,,,
0:08:34,36.7,3.1,268,117,99,68,0,,,
0:08:35,36.7,3.1,268,117,99,68,0,,,
0:08:36,36.7,3.1,268,117,99,69,0,,,
0:08:37,36.7,3.1,268,117,99,69,0,,,
0:08:38,36.7,3.2,268,119,99,69,0,,,
0:08:39,36.7,3.2,268,120,99,69,0,,,
